epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,710.457,0.11503,0.18079,0.8914,0.99428,1,0.995,0.995,0.12833,0.20574,0.50591,0.000709809,0.000709809,0.000709809
118,716.23,0.12991,0.23389,0.88579,0.99389,1,0.995,0.995,0.13041,0.21852,0.50811,0.000701557,0.000701557,0.000701557
119,721.999,0.11536,0.17098,0.85264,0.99365,1,0.995,0.995,0.13836,0.21059,0.51535,0.000693305,0.000693305,0.000693305
120,728.131,0.11011,0.16817,0.86222,0.99343,1,0.995,0.995,0.1424,0.21121,0.52414,0.000685054,0.000685054,0.000685054
121,733.923,0.10853,0.18646,0.86482,0.99298,1,0.995,0.995,0.15519,0.21694,0.53643,0.000676802,0.000676802,0.000676802
122,739.759,0.10611,0.2117,0.85727,0.99259,1,0.995,0.995,0.16256,0.22121,0.54401,0.00066855,0.00066855,0.00066855
123,745.667,0.10267,0.15408,0.86957,0.9927,1,0.995,0.995,0.16971,0.22643,0.5486,0.000660299,0.000660299,0.000660299
124,751.517,0.09926,0.16862,0.86377,0.99229,1,0.995,0.995,0.16022,0.22299,0.5456,0.000652047,0.000652047,0.000652047
125,757.373,0.10647,0.15831,0.87496,0.9927,1,0.995,0.995,0.16644,0.23254,0.55761,0.000643795,0.000643795,0.000643795
126,763.338,0.11123,0.17944,0.83666,0.99345,1,0.995,0.995,0.19002,0.24039,0.58506,0.000635544,0.000635544,0.000635544
127,768.911,0.10051,0.1691,0.84221,0.99389,1,0.995,0.995,0.19255,0.23846,0.58178,0.000627292,0.000627292,0.000627292
128,774.643,0.09933,0.16842,0.84101,0.99349,1,0.995,0.995,0.17674,0.21167,0.55786,0.00061904,0.00061904,0.00061904
129,780.928,0.10598,0.18221,0.82728,0.99372,1,0.995,0.995,0.1692,0.19969,0.54658,0.000610789,0.000610789,0.000610789
130,786.755,0.11516,0.19274,0.87986,0.99378,1,0.995,0.995,0.15788,0.19927,0.53605,0.000602537,0.000602537,0.000602537
